new,temp,humi,movement,vacc,naver
223,22.0,39.5,6088369,0.0,3.88507
227,22.9,54.4,6086967,0.0,4.03468
231,24.1,60.3,6247363,0.0,4.13628
254,22.1,79.5,5761539,0.0,3.02937
213,18.4,97.6,5146952,0.0,2.84305
195,15.3,93.0,5931266,0.0,3.65076
172,17.9,70.5,6254027,0.0,3.39063
249,19.9,52.3,5597446,0.0,2.79036
242,18.7,59.8,6012193,0.0,3.32689
172,16.0,86.5,6202470,0.0,3.40567
208,18.6,69.3,5963669,0.0,2.8089
181,19.5,64.4,5489479,0.0,2.61482
139,19.4,61.0,6094940,0.0,3.3617999999999997
138,15.3,72.3,6136360,0.0,3.26456
262,18.0,58.5,6197528,0.0,3.8042400000000005
218,15.8,83.0,6143279,0.0,3.23172
214,15.3,86.0,6304892,0.0,2.93105
194,15.4,79.8,5953916,0.0,2.39258
160,18.4,73.0,5609429,0.0,2.4581299999999997
130,19.9,78.9,6193168,0.0,3.5149599999999994
147,20.2,74.6,6003865,0.0,3.54803
258,23.2,64.4,6108309,0.0,3.36071
215,19.1,80.8,5941042,0.0,3.41758
206,18.5,69.4,6295674,0.0,3.08455
277,20.8,68.1,5842584,0.0,2.67134
179,23.0,69.6,5371890,0.0,2.4608200000000005
159,21.1,71.5,6035857,0.0,3.16913
139,23.6,69.6,6063386,0.0,3.00044
183,25.8,59.1,6198376,0.0,3.29949
213,24.9,68.5,6173621,0.0,3.1019300000000003
204,21.5,84.5,6319426,0.0,2.97204
208,24.2,74.6,5885159,0.0,2.2109900000000002
176,24.8,72.6,5401962,0.0,2.18083
122,24.8,68.8,6153670,0.0,3.04453
132,22.5,79.1,6189311,0.0,3.26815
201,24.3,59.9,6322659,0.0,3.1333100000000003
201,21.9,71.4,6273957,0.0,2.84394
200,20.0,92.1,6363307,0.0,2.70736
197,22.3,74.0,5993593,0.0,2.1169100000000003
165,22.9,73.3,5517338,0.0,2.73926
134,23.6,67.0,6276413,0.0,3.31483
132,22.8,67.9,6330075,0.0,3.0852299999999997
236,22.4,70.5,6384443,0.0,3.67056
252,23.0,71.1,6404253,0.0,3.27754
269,24.1,69.0,6555153,0.0,2.84818
263,22.8,78.5,6017317,0.0,2.3150299999999997
242,24.5,72.1,5546235,0.0,2.49188
185,23.7,76.4,6271428,0.0,2.97385
205,23.9,78.6,6152995,0.0,3.2112900000000004
375,24.3,77.9,6428502,0.0,7.02231
334,26.3,70.9,5927299,0.0,5.37868
347,27.1,64.1,6087935,0.0,5.660769999999999
359,22.6,80.0,5617224,0.0,4.00669
289,21.4,96.8,5219075,0.0,3.72063
307,23.3,80.3,5928949,0.0,5.04488
320,25.3,73.4,5988812,0.0,12.575
583,26.4,78.5,5917174,0.0,24.256559999999997
550,26.0,81.6,5900717,0.0,23.538320000000002
503,25.5,77.3,5979198,0.0,23.648110000000003
509,25.9,80.4,5568440,0.0,11.825669999999999
509,25.7,86.8,5093515,0.0,9.75048
403,28.1,75.1,5602845,0.0,13.41558
417,28.8,76.1,5616383,0.0,11.93537
638,29.7,71.4,5618614,0.0,17.571369999999998
520,29.1,71.1,5585404,0.0,14.35098
570,28.8,68.4,5728081,0.0,11.697099999999999
562,29.1,63.1,5359117,0.0,8.53703
523,29.6,62.5,4938921,0.0,9.06047
419,26.4,80.1,5628790,0.0,11.7803
394,27.9,75.8,5712173,0.0,11.9188
604,30.5,64.0,5741156,0.0,15.54475
499,31.2,59.8,5706362,0.0,13.00094
520,31.2,61.8,5810075,0.0,10.921249999999999
465,31.7,57.4,5416727,0.0,7.59223
489,31.5,55.8,4943678,0.0,7.43436
341,31.2,54.9,5653952,0.0,8.66518
351,31.1,60.5,5636866,0.0,8.02503
573,30.4,67.4,5754191,0.0,9.82304
515,29.6,69.9,5753427,0.0,8.399090000000001
488,30.5,63.1,5845216,0.0,7.41892
476,29.8,69.9,5415311,0.0,5.74538
473,27.1,81.8,4555757,0.0,5.64248
365,26.5,82.6,5393855,0.0,6.768409999999999
311,28.0,76.9,5470202,0.0,7.13412
486,28.9,70.6,5522731,0.0,7.58358
466,29.4,68.1,5544779,0.0,7.372999999999999
464,28.1,68.4,5592700,0.0,6.748760000000001
503,28.0,65.0,4346958,0.0,5.0791
450,26.8,74.8,4668617,0.0,5.13789
415,28.3,62.4,5614313,0.0,6.857810000000001
360,27.7,62.5,5708866,0.0,8.18152
661,27.4,70.3,5696274,0.0,14.29699
526,26.8,67.1,5671230,0.0,9.60545
524,26.6,70.4,5775932,0.0,7.76496
515,26.1,63.9,5302646,0.0,5.77722
488,26.9,59.6,4882661,0.0,5.359750000000001
364,27.3,61.1,5161870,0.0,5.69126
366,25.9,65.0,5765575,0.0,7.02059
510,24.3,69.6,5839630,0.0,6.701869999999999
575,26.0,57.1,5900821,0.0,7.7206600000000005
556,26.6,63.6,6002116,0.0,7.724200000000001
